epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.13,1.27738,3.45118,1.41514,0.00561,0.60552,0.4781,0.24316,1.10269,3.80008,1.34727,0.000396944,0.000396944,0.000396944
2,107.587,1.2643,2.44931,1.32008,1,0.07322,0.53293,0.29486,1.11254,3.38324,1.20557,0.000864632,0.000864632,0.000864632
3,155.925,1.2791,1.88779,1.24903,0.9889,0.11521,0.49787,0.27285,1.12401,3.32466,1.19363,0.00132289,0.00132289,0.00132289
4,205.83,1.28775,1.76815,1.26573,0.93167,0.10775,0.39055,0.20995,1.35306,3.39916,1.41766,0.00138656,0.00138656,0.00138656
5,254.694,1.27182,1.70903,1.27487,0.60044,0.23926,0.35501,0.1724,1.32977,3.23793,1.46888,0.00137241,0.00137241,0.00137241
6,303.582,1.15095,1.55663,1.20124,0.62441,0.2308,0.50656,0.27707,1.37414,3.18469,1.47891,0.00135826,0.00135826,0.00135826
7,351.736,1.19624,1.48129,1.22464,0.60368,0.14894,0.45356,0.20273,1.6916,3.40175,1.75897,0.00134412,0.00134412,0.00134412
8,399.607,1.19355,1.37533,1.17963,0.77772,0.09127,0.25389,0.1315,1.41386,3.71592,1.58933,0.00132997,0.00132997,0.00132997
9,447.854,1.15414,1.46097,1.18128,0.39421,0.37707,0.42604,0.23162,1.43281,3.73488,1.52707,0.00131582,0.00131582,0.00131582
10,495.5,1.16064,1.33099,1.17129,0.35943,0.27737,0.2517,0.13836,1.66131,9.26553,1.74443,0.00130168,0.00130168,0.00130168
11,542.992,1.14653,1.32173,1.17112,0.3576,0.33329,0.36074,0.18793,1.69805,4.8035,1.80652,0.00128753,0.00128753,0.00128753
12,591.134,1.08189,1.1909,1.14683,0.61137,0.50919,0.60018,0.35231,1.44142,3.04277,1.44276,0.00127338,0.00127338,0.00127338
13,638.495,1.06391,1.14106,1.13463,0.60177,0.61128,0.65326,0.40509,1.2458,3.25177,1.27344,0.00125923,0.00125923,0.00125923
14,686.332,1.04681,1.08387,1.10773,0.67142,0.73544,0.8523,0.57606,1.08613,2.29722,1.1751,0.00124509,0.00124509,0.00124509
15,734.437,1.06528,1.12372,1.14678,0.73662,0.75018,0.89386,0.60832,1.06908,2.06205,1.1528,0.00123094,0.00123094,0.00123094
16,782.102,1.02506,1.10719,1.11377,0.69389,0.6933,0.83942,0.56445,1.08329,2.09534,1.15756,0.00121679,0.00121679,0.00121679
17,829.053,1.00874,1.04503,1.12058,0.6864,0.73024,0.76717,0.50908,1.04611,2.08351,1.13172,0.00120265,0.00120265,0.00120265
18,877.877,1.03196,1.0182,1.11143,0.6566,0.80352,0.75644,0.52842,0.98866,2.13557,1.09503,0.0011885,0.0011885,0.0011885
19,926.02,1.0158,1.01349,1.11232,0.70085,0.85229,0.87652,0.61649,0.97456,1.93009,1.11001,0.00117435,0.00117435,0.00117435
20,973.089,1.02133,1.0407,1.11319,0.91174,0.85436,0.97748,0.70542,0.96621,1.3996,1.09896,0.00116021,0.00116021,0.00116021
21,1020.98,0.97587,0.99727,1.11211,0.95067,0.97543,0.98919,0.70809,0.94062,1.23468,1.08017,0.00114606,0.00114606,0.00114606
22,1070.54,0.96019,0.96961,1.10396,0.97135,0.95377,0.98688,0.73105,0.88949,1.1751,1.03629,0.00113191,0.00113191,0.00113191
23,1117.48,1.00836,0.9364,1.1179,0.96281,0.94378,0.98736,0.74792,0.88559,1.14063,1.03331,0.00111776,0.00111776,0.00111776
24,1163.93,0.95668,0.8989,1.08814,0.97951,0.94211,0.98829,0.74373,0.89028,1.15162,1.04513,0.00110362,0.00110362,0.00110362
25,1211.09,0.91611,0.90222,1.08365,0.95746,0.92424,0.97219,0.73319,0.86424,1.22128,1.02218,0.00108947,0.00108947,0.00108947
26,1258.89,0.93948,0.84561,1.0803,0.9705,0.95968,0.98929,0.76646,0.84004,1.08455,1.01447,0.00107532,0.00107532,0.00107532
27,1310.45,0.89766,0.85065,1.05713,0.97867,0.98578,0.99228,0.76468,0.87873,1.02765,1.0437,0.00106118,0.00106118,0.00106118
28,1362.11,0.93441,0.86176,1.08806,0.99688,0.98309,0.99381,0.75728,0.86261,1.03282,1.04168,0.00104703,0.00104703,0.00104703
29,1412.16,0.94063,0.89328,1.07462,0.98222,0.9323,0.99201,0.7489,0.87509,1.10934,1.05314,0.00103288,0.00103288,0.00103288
30,1458.92,0.92866,0.84643,1.05627,0.95705,0.93816,0.98652,0.71335,0.99183,1.14159,1.10172,0.00101873,0.00101873,0.00101873
31,1505.61,0.98743,0.87881,1.09983,0.98453,0.99359,0.99468,0.73274,0.95123,1.00993,1.07974,0.00100459,0.00100459,0.00100459
32,1553.35,0.95093,0.84413,1.08555,0.97493,0.98731,0.99481,0.77166,0.8126,0.92791,1.00311,0.00099044,0.00099044,0.00099044
33,1601.34,0.8944,0.84142,1.07729,0.97322,0.98994,0.99495,0.76574,0.82809,0.9201,1.00841,0.000976293,0.000976293,0.000976293
34,1648.18,0.8597,0.81575,1.04395,0.98759,0.99713,0.995,0.78059,0.77177,0.85426,0.9798,0.000962146,0.000962146,0.000962146
35,1695.52,0.88983,0.77867,1.0494,0.99071,0.99971,0.99495,0.77168,0.79933,0.85508,0.99504,0.000947999,0.000947999,0.000947999
36,1743.16,0.85771,0.77738,1.04296,0.9959,1,0.995,0.75945,0.818,0.83691,1.0022,0.000933851,0.000933851,0.000933851
37,1792.53,0.86346,0.76904,1.04446,0.99467,1,0.995,0.7729,0.79936,0.85297,0.99554,0.000919704,0.000919704,0.000919704
38,1840.55,0.84136,0.73543,1.03862,0.98667,0.98974,0.9948,0.78756,0.75732,0.88253,0.97108,0.000905557,0.000905557,0.000905557
39,1893.16,0.85596,0.77778,1.03406,0.98439,0.99803,0.995,0.78684,0.76249,0.86932,0.97661,0.00089141,0.00089141,0.00089141
40,1945.67,0.90003,0.7476,1.05541,0.99054,0.99692,0.99469,0.7783,0.78289,0.83082,1.00019,0.000877263,0.000877263,0.000877263
41,2002.43,0.8512,0.72761,1.04025,0.99782,0.99927,0.995,0.79648,0.75567,0.81166,0.99139,0.000863116,0.000863116,0.000863116
42,2065.76,0.8797,0.7021,1.02617,0.99521,1,0.995,0.79266,0.74907,0.76586,0.99518,0.000848969,0.000848969,0.000848969
43,2132.87,0.86328,0.73102,1.05695,0.99181,1,0.995,0.78721,0.74915,0.75495,0.99529,0.000834822,0.000834822,0.000834822
44,2200.66,0.82476,0.70088,1.01861,0.99043,1,0.995,0.78794,0.774,0.76943,0.99151,0.000820675,0.000820675,0.000820675
45,2269.87,0.80869,0.67512,1.00773,0.99767,1,0.995,0.77735,0.79623,0.75981,1.00337,0.000806528,0.000806528,0.000806528
46,2338.93,0.84221,0.69923,1.0232,0.99815,1,0.995,0.80265,0.73042,0.74596,0.97097,0.00079238,0.00079238,0.00079238
47,2391.74,0.864,0.7014,1.04596,0.99787,1,0.995,0.79763,0.72463,0.73799,0.96804,0.000778233,0.000778233,0.000778233
48,2433.97,0.87141,0.71629,1.04919,0.99525,0.99955,0.995,0.80125,0.71003,0.74491,0.96041,0.000764086,0.000764086,0.000764086
49,2481.65,0.81549,0.65715,1.0116,0.99323,1,0.995,0.79873,0.72467,0.75076,0.96986,0.000749939,0.000749939,0.000749939
50,2538.49,0.82336,0.68803,1.03043,0.99194,1,0.99492,0.79618,0.73829,0.77807,0.97365,0.000735792,0.000735792,0.000735792
51,2583.71,0.79045,0.67055,1.02047,0.98967,1,0.99496,0.77297,0.79628,0.78359,1.00159,0.000721645,0.000721645,0.000721645
52,2628.19,0.85441,0.65792,1.02516,0.99124,1,0.995,0.78496,0.78089,0.73914,0.98872,0.000707498,0.000707498,0.000707498
53,2673.78,0.83969,0.66285,1.01692,0.99288,0.99875,0.995,0.78606,0.78032,0.72113,0.98977,0.000693351,0.000693351,0.000693351
54,2728.37,0.84175,0.66853,1.03756,0.99041,0.99656,0.995,0.79556,0.72946,0.70752,0.97292,0.000679204,0.000679204,0.000679204
55,2771.48,0.78677,0.63686,1.00892,0.98908,0.99841,0.995,0.80538,0.69304,0.68497,0.95603,0.000665057,0.000665057,0.000665057
56,2824.35,0.80333,0.64484,0.99984,0.9972,0.99744,0.995,0.81819,0.67963,0.66026,0.95148,0.000650909,0.000650909,0.000650909
57,2878.97,0.77587,0.61586,1.01315,0.99711,0.99966,0.995,0.82085,0.67115,0.65481,0.94578,0.000636762,0.000636762,0.000636762
58,2931.91,0.77288,0.62188,1.01858,0.99842,0.99984,0.995,0.82009,0.67181,0.65869,0.94101,0.000622615,0.000622615,0.000622615
59,2982.27,0.763,0.58408,0.98732,0.99773,0.99977,0.995,0.81424,0.67989,0.67039,0.9442,0.000608468,0.000608468,0.000608468
60,3023.89,0.77763,0.60699,0.98899,0.99473,1,0.995,0.8058,0.71157,0.67661,0.95205,0.000594321,0.000594321,0.000594321
61,3065.81,0.78228,0.62434,1.00396,0.9948,1,0.995,0.81356,0.69145,0.66507,0.94545,0.000580174,0.000580174,0.000580174
62,3111.1,0.72184,0.58371,0.99783,0.99647,1,0.995,0.82654,0.65688,0.64394,0.9335,0.000566027,0.000566027,0.000566027
63,3155.37,0.75487,0.58871,1.00017,0.99656,1,0.995,0.82432,0.65757,0.63567,0.93579,0.00055188,0.00055188,0.00055188
64,3197.96,0.70751,0.56575,0.9853,0.99494,1,0.995,0.82423,0.64945,0.63127,0.93801,0.000537733,0.000537733,0.000537733
65,3241.28,0.78678,0.60379,1.0095,0.99219,0.99651,0.995,0.83096,0.63905,0.63524,0.9327,0.000523586,0.000523586,0.000523586
66,3285.65,0.75268,0.6208,1.00305,0.99268,1,0.995,0.82983,0.62751,0.61533,0.92618,0.000509438,0.000509438,0.000509438
67,3330.98,0.73042,0.59673,0.97208,0.99532,1,0.995,0.83251,0.63843,0.61402,0.92956,0.000495291,0.000495291,0.000495291
68,3376.76,0.69821,0.55423,0.96262,0.99516,1,0.995,0.82832,0.63992,0.61373,0.93148,0.000481144,0.000481144,0.000481144
69,3420.17,0.73973,0.56262,0.98329,0.99719,1,0.995,0.82978,0.63245,0.59996,0.93128,0.000466997,0.000466997,0.000466997
70,3460.49,0.72095,0.56351,0.97359,0.998,0.99968,0.995,0.83574,0.62247,0.58042,0.92411,0.00045285,0.00045285,0.00045285
71,3501.56,0.7511,0.57688,1.00382,0.99787,0.99974,0.995,0.84442,0.61331,0.57205,0.91828,0.000438703,0.000438703,0.000438703
72,3542.71,0.73452,0.56655,0.99532,0.99773,1,0.995,0.83264,0.62214,0.56687,0.92424,0.000424556,0.000424556,0.000424556
73,3585.29,0.74347,0.55847,0.97633,0.99773,1,0.995,0.83579,0.62386,0.56621,0.92516,0.000410409,0.000410409,0.000410409
74,3631.45,0.75684,0.56439,0.99372,0.99843,1,0.995,0.84165,0.60155,0.56152,0.91965,0.000396262,0.000396262,0.000396262
75,3676.79,0.70488,0.55981,0.98704,0.99785,1,0.995,0.84796,0.58153,0.55529,0.91072,0.000382115,0.000382115,0.000382115
76,3719.71,0.74917,0.55901,0.99571,0.99675,1,0.995,0.8538,0.57812,0.55202,0.90383,0.000367967,0.000367967,0.000367967
77,3763.29,0.72362,0.54615,0.99993,0.9963,1,0.995,0.8545,0.57933,0.54494,0.90348,0.00035382,0.00035382,0.00035382
78,3811.08,0.6927,0.52823,0.96424,0.9957,1,0.995,0.85902,0.56577,0.5377,0.90166,0.000339673,0.000339673,0.000339673
79,3854.62,0.68493,0.5271,0.96912,0.9959,1,0.995,0.85846,0.57212,0.53901,0.90517,0.000325526,0.000325526,0.000325526
80,3897.24,0.70627,0.53743,0.96945,0.99686,1,0.995,0.84599,0.59613,0.54719,0.91312,0.000311379,0.000311379,0.000311379
